Player,Team,Year Signed,Length of Contract,Value,APY,Guaranteed Money,APY as % of Salary Cap,Inflated Value,Inflated APY,Inflated Guaranteed
Julian Stanford,Lions,2022,1,"277,200.00","277,200.00",0.00,0.00,"340,043.00","340,043.00",0.00
Khaleke Hudson,Commanders,2022,1,"283,444.00","283,444.00",0.00,0.00,"347,702.00","347,702.00",0.00
Vi Jones,Seahawks,2022,1,"290,001.00","290,001.00",0.00,0.00,"355,746.00","355,746.00",0.00
Christian Elliss,Eagles,2022,1,"290,001.00","290,001.00",0.00,0.00,"355,746.00","355,746.00",0.00
Eric Wilson,Saints,2022,1,"306,000.00","306,000.00",0.00,0.00,"375,372.00","375,372.00",0.00
Kenny Young,Saints,2022,1,"306,000.00","306,000.00",0.00,0.00,"375,372.00","375,372.00",0.00
Christian Jones,Seahawks,2022,1,"308,622.00","308,622.00",0.00,0.00,"378,588.00","378,588.00",0.00
Jamie Collins,Patriots,2022,1,"309,244.00","309,244.00",0.00,0.00,"379,351.00","379,351.00",0.00
Anthony Pittman,Lions,2022,1,"309,999.00","309,999.00",0.00,0.00,"380,277.00","380,277.00",0.00
Ladarius Hamilton,Packers,2022,1,"309,999.00","309,999.00",0.00,0.00,"380,277.00","380,277.00",0.00
Hamsah Nasirildeen,Jets,2022,1,"309,999.00","309,999.00",0.00,0.00,"380,277.00","380,277.00",0.00
"Jermaine Carter, Jr.",Browns,2022,1,"310,500.00","310,500.00",0.00,0.00,"380,892.00","380,892.00",0.00
Joe Schobert,Titans,2022,1,"315,200.00","315,200.00",0.00,0.00,"386,657.00","386,657.00",0.00
Jordan Kunaszyk,Browns,2022,1,"315,411.00","315,411.00",0.00,0.00,"386,916.00","386,916.00",0.00
Dakota Allen,Browns,2022,1,"315,411.00","315,411.00",0.00,0.00,"386,916.00","386,916.00",0.00
Ty Summers,Jaguars,2022,1,"315,411.00","315,411.00",0.00,0.00,"386,916.00","386,916.00",0.00
Ryan Connelly,Vikings,2022,1,"317,700.00","317,700.00",0.00,0.00,"389,724.00","389,724.00",0.00
Austin Calitro,Raiders,2022,1,"317,700.00","317,700.00",0.00,0.00,"389,724.00","389,724.00",0.00
Reggie Ragland,Raiders,2022,1,"317,700.00","317,700.00",0.00,0.00,"389,724.00","389,724.00",0.00
Blake Martinez,Raiders,2022,1,"317,700.00","317,700.00",0.00,0.00,"389,724.00","389,724.00",0.00
Harvey Langi,Raiders,2022,1,"317,700.00","317,700.00",0.00,0.00,"389,724.00","389,724.00",0.00
Joseph Jones,Titans,2022,1,"319,300.00","319,300.00",0.00,0.00,"391,687.00","391,687.00",0.00
Kenny Young,Buccaneers,2022,1,"319,300.00","319,300.00",0.00,0.00,"391,687.00","391,687.00",0.00
Jarrad Davis,Lions,2022,1,"342,000.00","342,000.00",0.00,0.00,"419,533.00","419,533.00",0.00
Jordan Kunaszyk,Browns,2022,1,"353,622.00","353,622.00",0.00,0.00,"433,790.00","433,790.00",0.00
Ty Summers,Jaguars,2022,1,"353,622.00","353,622.00",0.00,0.00,"433,790.00","433,790.00",0.00
Christian Jones,Seahawks,2022,1,"355,444.00","355,444.00",0.00,0.00,"436,025.00","436,025.00",0.00
Jamie Collins,Patriots,2022,1,"356,066.00","356,066.00",0.00,0.00,"436,788.00","436,788.00",0.00
Joe Schobert,Titans,2022,1,"357,300.00","357,300.00",0.00,0.00,"438,302.00","438,302.00",0.00
Ulysees Gilbert III,Buccaneers,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Elijah Lee,Chiefs,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Nate Gerry,Commanders,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Devon Kennard,Ravens,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Harvey Langi,Patriots,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Josh Bynes,Ravens,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Genard Avery,Buccaneers,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Kevin Pierre-Louis,Texans,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Joe Thomas,Bears,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Malik Jefferson,Cowboys,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Devon Kennard,ARI/BAL,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
A.J. Klein,Giants,2022,1,"358,200.00","358,200.00",0.00,0.00,"439,406.00","439,406.00",0.00
Ulysees Gilbert III,Buccaneers,2022,1,"359,833.00","359,833.00",0.00,0.00,"441,409.00","441,409.00",0.00
Elijah Lee,Chiefs,2022,1,"373,700.00","373,700.00",0.00,0.00,"458,420.00","458,420.00",0.00
Jarrad Davis,Lions,2022,1,"380,500.00","380,500.00",0.00,0.00,"466,761.00","466,761.00",0.00
Ty Summers,Jaguars,2022,1,"391,833.00","391,833.00",0.00,0.00,"480,664.00","480,664.00",0.00
Elijah Lee,Chiefs,2022,1,"395,800.00","395,800.00",0.00,0.00,"485,530.00","485,530.00",0.00
Genard Avery,Buccaneers,2022,1,"395,800.00","395,800.00",0.00,0.00,"485,530.00","485,530.00",0.00
Harvey Langi,Patriots,2022,1,"395,800.00","395,800.00",0.00,0.00,"485,530.00","485,530.00",0.00
Devon Kennard,Cardinals,2022,1,"400,522.00","400,522.00",0.00,0.00,"491,322.00","491,322.00",0.00
Joe Thomas,Bears,2022,1,"400,522.00","400,522.00",0.00,0.00,"491,322.00","491,322.00",0.00
Christian Jones,Seahawks,2022,1,"402,266.00","402,266.00",0.00,0.00,"493,462.00","493,462.00",0.00
Jarrad Davis,Lions,2022,1,"419,000.00","419,000.00",0.00,0.00,"513,989.00","513,989.00",0.00
Harvey Langi,Patriots,2022,1,"433,400.00","433,400.00",0.00,0.00,"531,654.00","531,654.00",0.00
Devon Kennard,Cardinals,2022,1,"442,844.00","442,844.00",0.00,0.00,"543,239.00","543,239.00",0.00
Jarrad Davis,Lions,2022,1,"457,500.00","457,500.00",0.00,0.00,"561,218.00","561,218.00",0.00
Lakiem Williams,Seahawks,2022,1,"705,000.00","705,000.00",0.00,0.00,"864,827.00","864,827.00",0.00
